序号,UT,题名,判定,理由/标签,判定阶段
423,WOS:000865798000064,Assessment of Smart Heating and Cooling System Based on Thermal Use of Shallow Aquifer,X,浅层地热供冷热+地下水,题目+关键词
424,WOS:000682179400001,"Machine Learning for Authentication and Authorization in IoT: Taxonomy, Challenges and Future Research Direction",X,IoT认证授权,题目+关键词
425,WOS:000429321600004,Vulnerability of Interdependent Urban Infrastructure Networks: Equilibrium after Failure Propagation and Cascading Impacts,A,多层网络失效传播均衡(水/电/交通+社区行为),摘要
426,WOS:000415823400007,Solar-driven dual-purpose plant with hybrid desalination system for harsh desert farms,X,过程级(太阳能双用途淡化农场),题目+关键词
427,WOS:000306394400075,Failure mechanism of FC-PBGA devices under external stress,X,电子封装失效,题目+关键词
428,WOS:001630694500003,Synergistic utilization of low-grade heat and salinity gradient for water-electricity cogeneration through thermal osmosis and nanofluidic reverse electrodialysis,X,器件级(热渗透+反电渗析水电联产),题目+关键词
429,WOS:000351352000012,Seismic Hazard and Risk Assessment for Tbilisi - New Approaches,X,第比利斯地震风险,题目+关键词
430,WOS:000457127300267,"Family Structure and Severe Food Insecurity in Maputo and Matola, Mozambique",X,食品安全(莫桑比克),题目+关键词
431,WOS:000815263200023,Targeting climate adaptation to safeguard and advance the Sustainable Development Goals,X,气候适应与SDGs,题目+关键词
432,WOS:000619107300006,Enhancement of solar energy use by an integrated system for five useful outputs: System assessment,X,太阳能多联产,题目+关键词
433,WOS:000289704101064,The Application Research of Thermoelectric Generation Technology in Gas Water Heater,X,燃气热水器温差发电,题目+关键词
434,WOS:000686463200004,Methodology and challenges of fire following earthquake analysis: an urban community study considering water and transportation networks,X,"震后火灾级联(水网+交通,无电力耦合)",题目+关键词
435,WOS:000423009500041,Counting energy poverty in Spain between 2004 and 2015,X,能源贫困(西班牙),题目+关键词
436,WOS:000409290700073,Input-output Inoperability Model for the risk analysis of eco-industrial parks,X,生态工业园IO风险分析,题目+关键词
437,WOS:000672823300063,Impact of EV charging Station Penetration on Harmonic Distortion Level in Utility Distribution Network: A Case Study of Qatar,X,EV充电谐波,题目+关键词
438,WOS:001096949900001,Insulation design of-800 kV gas insulation transmission line for negative ion based neutral beam injector,X,GIL绝缘设计,题目+关键词
439,WOS:001128039100001,"Towards a sustainable environment and carbon neutrality: Optimal sizing of standalone, green, reliable, and affordable water-power cogeneration systems",X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
440,WOS:000599652000001,Assessing the impact of systemic heterogeneity on failure propagation across interdependent critical infrastructure systems,A,相依基础设施失效传播(电力+供水系统),题目+关键词
441,WOS:001568241500001,Fractional-order sliding mode coordinated controller using super-twisting disturbance observer for an NSSS with predefined-time stability,X,核蒸汽供应系统控制,题目+关键词
442,WOS:000863105600008,Interdependent effects of critical infrastructure systems under different types of disruptions,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
443,WOS:000572861700004,Implementing multiple-effect distillation and reverse osmosis thermal coupling to improve desalination process performance in combined water and power plants,X,过程级(MED-RO热耦合联产厂),题目+关键词
444,WOS:000365130200004,Rapid Assessment of Hurricane Damage and Disruption to Interdependent Civil Infrastructure Systems,A,[B终筛升A]飓风中电力-供水-通信互依系统中断快速预测模型,摘要复核(B类终筛)
445,WOS:000322785100010,Water Power and/or Nature Conservation? - Analysis of Options for the Rehabilitation of the Lower Salzach River,X,水电开发vs自然保护(河流),题目+关键词
446,WOS:000430034700008,"Assessing three fish species ecological status in Colorado River, Grand Canyon based on physical habitat and population models",X,鱼类生态,题目+关键词
447,WOS:000591678700092,Feasibility of Alarm Events upon Smart Metering in LoRa Networks,X,智能计量LoRa,题目+关键词
448,WOS:000236976000002,Reliable high power diode lasers: thermo-mechanical fatigue aspects,X,二极管激光器可靠性,题目+关键词
449,WOS:000322131200150,A Study on Reliability Based Assessment for High Voltage Induction Stator Windings,X,电机绕组可靠性,题目+关键词
450,WOS:000417008900027,Improved recovery of bioenergy and osmotic water in an osmotic microbial fuel cell using micro-diffuser assisted marine aerobic biofilm on cathode,X,渗透微生物燃料电池,题目+关键词
451,WOS:000726424700001,Resilience of Interdependent Water and Power Systems: A Literature Review and Conceptual Modeling Framework,A,互依水-电系统韧性综述+概念框架,题目+关键词
452,WOS:000345426800003,Green Village Delft - integration of an autarkic water supply in a local sustainable energy system,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
453,WOS:000956433900001,Comprehensive Thermodynamic Evaluation of the Natural Gas-Fired Allam Cycle at Full Load,X,Allam循环热力学,题目+关键词
454,WOS:001267384200001,"Design, simulation and investigation of the tri-generation process of fresh water, power and biogas using solar thermal energy and sewage sludge",X,过程级(太阳能+污泥三联产),题目+关键词
455,WOS:000752197200001,Emergy and eco-exergy analysis of different scenarios in waste heat recovery applications for electricity and fresh water generation,X,过程级(余热发电+淡水emergy),题目+关键词
456,WOS:000308573000024,A Functional Loss Assessment of a Hospital System in the Bio-Bio Province,X,医院功能损失评估,题目+关键词
457,WOS:001586813500001,Effect of government regulation on promotion of soil restoration practices among farmers in the Loess plateau: Unveiling the role of green ecological cognition,X,农户土壤修复行为,题目+关键词
458,WOS:001225694200001,Runoff and Infiltration responses of revegetated slopes to clipping management on the northern Loess Plateau,X,黄土坡面径流,题目+关键词
459,WOS:001813485600001,A Petri Net-based asset management model for polymer electrolyte membrane electrolyser balance of plant,X,电解槽资产管理Petri网,题目+关键词
460,WOS:001144574700001,Community-level post-hazard functionality methodology for buildings exposed to floods,X,洪水建筑功能,题目+关键词
461,WOS:001180336100001,Nonlinear damping characteristic analysis of hydropower systems based on a reliable damping quantification method,X,水电机组阻尼特性,题目+关键词
462,WOS:000669025800001,Climate Change Vulnerability and Key Adaptation Trajectory of the Regional Economic System,X,区域经济气候脆弱性,题目+关键词
463,WOS:000387975200006,Spatial optimization of residential urban district - Energy and water perspectives,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
464,WOS:001716483600001,Leveraging cascade heat recovery from a gas turbine cycle in a sustainable integrated energy system; multi-objective optimization using radial basis function-driven Ant Colony algorithm,X,过程级(燃机梯级余热IES),题目+关键词
465,WOS:000340213800045,Thermal performance of a modified ammonia-water power cycle for reclaiming mid/low-grade waste heat,X,氨-水循环,题目+关键词
466,WOS:001845304200001,Integrated binary geothermal-LNG cold energy recovery multigeneration system for urban energy applications,X,过程级(地热LNG多联产),题目+关键词
467,WOS:000247090600026,Assessment of post-hurricane katrina recovery in poultry slaughter establishments,X,禽类加工厂灾后恢复,题目+关键词
468,WOS:001464394400001,An integrated multi-hazard resilience framework for facility operations: Analysis of buildings' interdependencies,X,建筑互依多灾害韧性,题目+关键词
469,WOS:000220166100007,"Resident fish in the Columbia River Basin: Restoration, enhancement, and mitigation for losses associated with hydroelectric development and operations",X,河流鱼类修复,题目+关键词
470,WOS:000268986900011,Adapted Water Supply Technology Using Pumps as Turbines,X,[B终筛剔除:供水系统内水力发电/能量回收/抽蓄设备(口径外)],摘要复核(B类终筛)
471,WOS:000237946400008,Residential experience with proton exchange membrane fuel cell systems for combined heat and power,X,住宅燃料电池CHP,题目+关键词
472,WOS:000361748500027,Research on Machine Manufacturing for a New Type of the Sewage Recycling and Energy Saving Car-washing Machine,X,洗车污水回用机械,题目+关键词
473,WOS:001261633400001,Realizing renewable resilience: Lessons from the Middle East for the global energy transition,X,中东可再生能源转型,题目+关键词
474,WOS:000659949800001,Recent advances in assessment of soil erosion vulnerability in a watershed,X,土壤侵蚀脆弱性,题目+关键词
475,WOS:001056952100001,"Energy, economic, and environmental analysis of combined cooling, heat, power and water (CCHPW) system incorporated with photovoltaic/thermal collectors and reverse osmosis systems",X,过程级(CCHPW+PV/T+RO),题目+关键词
476,WOS:000992042900001,Integrated reinforcement and repair of interdependent infrastructure networks under disaster-related uncertainties,A,[B终筛升A]电-水-通信互依网络灾前加固与灾后修复一体化随机优化,摘要复核(B类终筛)
477,WOS:000359873300032,Techno-economic feasibility of the irrigation system for the grassland and farmland conservation in China: Photovoltaic vs. wind power water pumping,X,[B终筛剔除:非城市供水(灌溉/农村/离网提水)],摘要复核(B类终筛)
478,WOS:001510303200001,Establishing environmental sustainability in a resource-limited surgical setting: the design of Kyabirwa surgical center,X,手术中心可持续性,题目+关键词
479,WOS:001576815300002,Urgent action needed to address the epidemiological threat of prolonged war in Gaza,X,加沙公共卫生,题目+关键词
480,WOS:000564641700012,Combinatorial analysis for probabilistic assessment of dependent failures in systems and portfolios,X,建筑组合可靠性,题目+关键词
481,WOS:000390819100001,Impacts of recent drought and warm years on water resources and electricity supply worldwide,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
